atomic_number,symbol,element,antimatter_symbol,evidence_status,confidence,deviation_class,reference_id,notes
1,H,Hydrogen,overline(H),neutral anti-atom characterized,1.00,none,IUPACatomicnumber; IUPAC113118; Andresen2010; Andresen2011; ALPHA2017; Ahmadi2017Hyperfine; ALPHA2018; ALPHA2020Fine; Baker2021Cooling; Anderson2023; Akbari2025,"Classical position and symbol follow IUPAC. Antihydrogen is produced, trapped, spectroscopically characterized, laser cooled, and gravitationally tested in the cited ALPHA literature."
2,He,Helium,overline(He),antinucleus observed; neutral anti-atom open,0.65,status,IUPACatomicnumber; IUPAC113118; STAR2011; STAR2024,Classical position and symbol follow IUPAC. Antihelium nuclei are observed in the cited STAR literature; neutral antihelium atoms are not established in the cited literature.
3,Li,Lithium,overline(Li),CPT-expected; neutral anti-atom not realized,0.35,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Orbital structure is theoretically expected from the CPT framework; no neutral anti-atom realization is established in the cited literature.
4,Be,Beryllium,overline(Be),CPT-expected; neutral anti-atom not realized,0.35,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Orbital structure is theoretically expected from the CPT framework; no neutral anti-atom realization is established in the cited literature.
5,B,Boron,overline(B),CPT-expected; neutral anti-atom not realized,0.35,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Orbital structure is theoretically expected from the CPT framework; no neutral anti-atom realization is established in the cited literature.
6,C,Carbon,overline(C),CPT-expected; neutral anti-atom not realized,0.35,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Orbital structure is theoretically expected from the CPT framework; no neutral anti-atom realization is established in the cited literature.
7,N,Nitrogen,overline(N),CPT-expected; neutral anti-atom not realized,0.35,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Orbital structure is theoretically expected from the CPT framework; no neutral anti-atom realization is established in the cited literature.
8,O,Oxygen,overline(O),CPT-expected; neutral anti-atom not realized,0.35,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Orbital structure is theoretically expected from the CPT framework; no neutral anti-atom realization is established in the cited literature.
9,F,Fluorine,overline(F),CPT-expected; neutral anti-atom not realized,0.35,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Orbital structure is theoretically expected from the CPT framework; no neutral anti-atom realization is established in the cited literature.
10,Ne,Neon,overline(Ne),CPT-expected; neutral anti-atom not realized,0.35,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Orbital structure is theoretically expected from the CPT framework; no neutral anti-atom realization is established in the cited literature.
11,Na,Sodium,overline(Na),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
12,Mg,Magnesium,overline(Mg),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
13,Al,Aluminium,overline(Al),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
14,Si,Silicon,overline(Si),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
15,P,Phosphorus,overline(P),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
16,S,Sulfur,overline(S),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
17,Cl,Chlorine,overline(Cl),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
18,Ar,Argon,overline(Ar),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
19,K,Potassium,overline(K),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
20,Ca,Calcium,overline(Ca),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
21,Sc,Scandium,overline(Sc),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
22,Ti,Titanium,overline(Ti),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
23,V,Vanadium,overline(V),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
24,Cr,Chromium,overline(Cr),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
25,Mn,Manganese,overline(Mn),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
26,Fe,Iron,overline(Fe),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
27,Co,Cobalt,overline(Co),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
28,Ni,Nickel,overline(Ni),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
29,Cu,Copper,overline(Cu),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
30,Zn,Zinc,overline(Zn),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
31,Ga,Gallium,overline(Ga),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
32,Ge,Germanium,overline(Ge),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
33,As,Arsenic,overline(As),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
34,Se,Selenium,overline(Se),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
35,Br,Bromine,overline(Br),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
36,Kr,Krypton,overline(Kr),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
37,Rb,Rubidium,overline(Rb),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
38,Sr,Strontium,overline(Sr),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
39,Y,Yttrium,overline(Y),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
40,Zr,Zirconium,overline(Zr),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
41,Nb,Niobium,overline(Nb),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
42,Mo,Molybdenum,overline(Mo),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
43,Tc,Technetium,overline(Tc),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
44,Ru,Ruthenium,overline(Ru),CPT-expected; neutral anti-atom not realized,0.20,unknown,CPT framework; IUPACatomicnumber; IUPAC113118,Classical position and symbol follow IUPAC. Higher anti-atoms remain a theoretical preparedness domain; no neutral anti-atom realization is established in the cited literature.
